"","scientific_name","taxa_data.kingdom.i.","taxa_data.class.i.","taxa_data.order.i.","RN","original","taxa_data.family.i.","taxa_data.taxonomicStatus.i.","genus","common"
"83","Oryctolagus cuniculus","Animalia","Mammalia","Lagomorpha","988","Oryctolagus cuniculus","Leporidae","accepted name","Oryctolagus","Oryctolagus cuniculus"
"84","Oryctolagus cuniculus","Animalia","Mammalia","Lagomorpha","1918","Oryctolagus cuniculus","Leporidae","accepted name","Oryctolagus","Animalia"
"85","Rattus rattus","Animalia","Mammalia","Rodentia","1918","Rattus rattus","Muridae","accepted name","Rattus","Animalia"
"86","Bolyeria multocarinata","Animalia","Reptilia","Squamata","1918","Bolyeria multocarinata","Bolyeridae","accepted name","Bolyeria","Animalia"
"87","Casarea dussumieri","Animalia","Reptilia","Squamata","1918","Casarea dussumieri","Bolyeridae","accepted name","Casarea","Animalia"
"88","Leiolopisma telfairii","Animalia","Reptilia","Squamata","1918","Leiolopisma telfairii","Scincidae","accepted name","Leiolopisma","Animalia"
"89","Phelsuma guentheri","Animalia","Reptilia","Squamata","1918","Phelsuma guentheri","Gekkonidae","accepted name","Phelsuma","Animalia"
"90","Tamiasciurus hudsonicus","Animalia","Mammalia","Rodentia","696","Tamiasciurus hudsonicus","Sciuridae","accepted name","Tamiasciurus","Sciuridae"
"91","Ictidomys tridecemlineatus","Animalia","Mammalia","Rodentia","696","Spermophilus tridecemlineatus","Sciuridae","accepted name","Ictidomys","Sciuridae"
"92","Poliocitellus franklinii","Animalia","Mammalia","Rodentia","696","S. franklinii","Sciuridae","accepted name","Poliocitellus","Sciuridae"
"93","Tamiasciurus hudsonicus","Animalia","Mammalia","Rodentia","850","Tamiasciurus hudsonicus","Sciuridae","accepted name","Tamiasciurus","Mammalia"
"94","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","850","Glaucomys sabrinus","Sciuridae","accepted name","Glaucomys","Mammalia"
"95","Mustela frenata","Animalia","Mammalia","Carnivora","850","Mustela frenata","Mustelidae","accepted name","Mustela","Mammalia"
"96","Mephitis mephitis","Animalia","Mammalia","Carnivora","850","Mephitis mephitis","Mephitidae","accepted name","Mephitis","Mammalia"
"97","Mustela erminea","Animalia","Mammalia","Carnivora","850","M. erminea","Mustelidae","accepted name","Mustela","Mammalia"
"98","Erethizon dorsatus","Animalia","Mammalia","Rodentia","850","Erethizon dorsatum","Erethizontidae","accepted name","Erethizon","Mammalia"
"99","Poliocitellus franklinii","Animalia","Mammalia","Rodentia","850","Spermophilus franklinii","Sciuridae","accepted name","Poliocitellus","Mammalia"
"100","Neovison vison","Animalia","Mammalia","Carnivora","850","M. vison","Mustelidae","accepted name","Neovison","Mammalia"
"101","Tamiasciurus hudsonicus","Animalia","Mammalia","Rodentia","3384","Tamiasciurus hudsonicus","Sciuridae","accepted name","Tamiasciurus","Sciuridae"
"102","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","3384","Glaucomys sabrinus","Sciuridae","accepted name","Glaucomys","Sciuridae"
"103","Glaucomys sabrinus","Animalia","Mammalia","Rodentia","3384","G. sabrinus","Sciuridae","accepted name","Glaucomys","Sciuridae"
"104","Tamiasciurus hudsonicus","Animalia","Mammalia","Rodentia","3384","T. hudsonicus","Sciuridae","accepted name","Tamiasciurus","Sciuridae"
"105","Tamiasciurus hudsonicus","Animalia","Mammalia","Rodentia","3386","Tamiasciurus hudsonicus","Sciuridae","accepted name","Tamiasciurus","Tamiasciurus hudsonicus"
